Especie;LatitudDecimal;LongitudDecimal
Ectophylla_alba;9.53;-83.39
Ectophylla_alba;10426209;-83697383
Ectophylla_alba;10426209;-83697383
Ectophylla_alba;10426209;-83697383
Ectophylla_alba;10426209;-83697383
Ectophylla_alba;10426209;-83697383
Ectophylla_alba;10426209;-83697383
Ectophylla_alba;10426209;-83697383
Ectophylla_alba;10426209;-83697383
Ectophylla_alba;9.43;-83.03
Ectophylla_alba;10.09;-83.55
Ectophylla_alba;10.27;-84
Ectophylla_alba;10.27;-84
Ectophylla_alba;10.27;-84
Ectophylla_alba;10.27;-84
Ectophylla_alba;10.27;-83.47
Ectophylla_alba;10.27;-84
Ectophylla_alba;10.27;-84
Ectophylla_alba;10.27;-84
Ectophylla_alba;10.27;-84
Ectophylla_alba;10.27;-84
Ectophylla_alba;10432374;-83781549
Ectophylla_alba;10.27;-84
Ectophylla_alba;10.27;-84
Ectophylla_alba;10.27;-84
Ectophylla_alba;10299423;-83387668
Ectophylla_alba;10299423;-83387668
Ectophylla_alba;10299423;-83387668
Ectophylla_alba;10548918;-84021771
Ectophylla_alba;9665244;-83617487
Ectophylla_alba;10581638;-83524
Ectophylla_alba;10356201;-83872987
Ectophylla_alba;1058469;-83701494
Ectophylla_alba;10570086;-84039451
Ectophylla_alba;10413828;-8403336
Ectophylla_alba;10398971;-83803171
Ectophylla_alba;10357026;-83914252
Ectophylla_alba;10357461;-83924379
Ectophylla_alba;1028809;-83933721
Ectophylla_alba;10563815;-84098742
Ectophylla_alba;1058422;-84041422
Ectophylla_alba;10488862;-84124494
Ectophylla_alba;10230738;-83984507
Ectophylla_alba;10.6;-83.53
Ectophylla_alba;10.6;-83533
Ectophylla_alba;10498562;-8380821
Ectophylla_alba;10520613;-84175707
Ectophylla_alba;1049994;-8406766
Ectophylla_alba;10499147;-84087506
Ectophylla_alba;10358694;-83851186
Ectophylla_alba;10538495;-84097512
Ectophylla_alba;10312239;-83630518
Ectophylla_alba;10695888;-83581
Ectophylla_alba;10343404;-84135832
Ectophylla_alba;1043333;-84
Ectophylla_alba;10433863;-84126328
Ectophylla_alba;10294069;-83833001
Ectophylla_alba;10521454;-84090687
Ectophylla_alba;10258303;-84051887
Ectophylla_alba;10423625;-84001757
Ectophylla_alba;10232814;-83945272
Ectophylla_alba;10539094;-84032965
Ectophylla_alba;10438183;-84169365
Ectophylla_alba;10554091;-84037339
Ectophylla_alba;10569296;-84158226
Ectophylla_alba;10256351;-83872233
Ectophylla_alba;1042342;-84075414
Ectophylla_alba;10.6;-83.53
Ectophylla_alba;10.6;-83.53
Ectophylla_alba;10475231;-84170528
Ectophylla_alba;10542801;-84150922
Ectophylla_alba;10448936;-83829033
Ectophylla_alba;10389846;-83990123
Ectophylla_alba;10339488;-8392876
Ectophylla_alba;10496607;-83623486
Ectophylla_alba;104824;-83613558
Ectophylla_alba;1043333;-84
Ectophylla_alba;1043333;-84
Ectophylla_alba;1043333;-84
Ectophylla_alba;1043333;-84
Ectophylla_alba;1043333;-84
Ectophylla_alba;10444304;-84075966
Ectophylla_alba;1043443592;-8403305409
Ectophylla_alba;1021667;-8376667
Ectophylla_alba;1043443592;-8403305409
Ectophylla_alba;1043443592;-8403305409
Ectophylla_alba;1043443592;-8403305409
Ectophylla_alba;10313171;-84119579
Ectophylla_alba;10546194;-84005727
Ectophylla_alba;10432714;-83491624
Ectophylla_alba;9826578;-83570553
Ectophylla_alba;1044277305;-8377055099
Ectophylla_alba;10431264;-84003549
Ectophylla_alba;10431264;-84003549
Ectophylla_alba;1046667;-8401667
Ectophylla_alba;1043333;-84
Ectophylla_alba;1043333;-84
Ectophylla_alba;1043333;-84
Ectophylla_alba;1058333;-83524
Ectophylla_alba;1058333;-83524
Ectophylla_alba;1058333;-83524
Ectophylla_alba;9717;-83.05
Ectophylla_alba;1038410922;-8373271699
Ectophylla_alba;1038410922;-8373271699
Ectophylla_alba;1038410922;-8373271699
Ectophylla_alba;1038410922;-8373271699
Ectophylla_alba;1038410922;-8373271699
Ectophylla_alba;1038410922;-8373271699
Ectophylla_alba;1038410922;-8373271699
Ectophylla_alba;1038410922;-8373271699
Ectophylla_alba;9901134861;-8364971399
Ectophylla_alba;10391944;-84116389
Ectophylla_alba;10391944;-84116389
Ectophylla_alba;10391944;-84116389
Ectophylla_alba;10397783;-84117812
Ectophylla_alba;10397783;-84117812
Ectophylla_alba;10397783;-84117812
Ectophylla_alba;10397783;-84117812
Ectophylla_alba;10397783;-84117812
Ectophylla_alba;10157999;-83782668
Ectophylla_alba;10157999;-83782668
Ectophylla_alba;10157999;-83782668
Ectophylla_alba;10157999;-83782668
Ectophylla_alba;10157999;-83782668
