species;countryCode;stateProvince;decimalLatitude;decimalLongitude;year
Ectophylla alba;CR;Heredia;10548918;-84021771;2015
Ectophylla alba;CR;Cartago;9665244;-83617487;2018
Ectophylla alba;CR;Limón;10581638;-83509094;2019
Ectophylla alba;CR;Limón;10356201;-83872987;2020
Ectophylla alba;CR;Limón;1058469;-83701494;2016
Ectophylla alba;CR;Heredia;10570086;-84039451;2016
Ectophylla alba;CR;Heredia;10413828;-8403336;2015
Ectophylla alba;CR;Limón;10398971;-83803171;2020
Ectophylla alba;CR;Limón;10357026;-83914252;2020
Ectophylla alba;CR;Limón;10357461;-83924379;2020
Ectophylla alba;CR;Limón;1028809;-83933721;2019
Ectophylla alba;CR;Heredia;10563815;-84098742;2019
Ectophylla alba;CR;Heredia;1058422;-84041422;2019
Ectophylla alba;CR;San José;97611;-84448111;2013
Ectophylla alba;CR;Heredia;10488862;-84124494;2016
Ectophylla alba;CR;Limón;10230738;-83984507;2019
Ectophylla alba;CR;;10.6;-83.53;1997
Ectophylla alba;CR;Limon;10.6;-83533;1997
Ectophylla alba;CR;Heredia;10498562;-8380821;2019
Ectophylla alba;CR;Heredia;10520613;-84175707;2019
Ectophylla alba;CR;Heredia;1049994;-8406766;2019
Ectophylla alba;CR;Heredia;10499147;-84087506;2019
Ectophylla alba;CR;Limón;10358694;-83851186;2019
Ectophylla alba;CR;Heredia;10538495;-84097512;2017
Ectophylla alba;CR;Limón;10312239;-83630518;2019
Ectophylla alba;CR;Limón;10695888;-83561021;2018
Ectophylla alba;CR;Heredia;10343404;-84135832;2018
Ectophylla alba;CR;Heredia;1043333;-84;1977
Ectophylla alba;CR;Heredia;10433863;-84126328;2018
Ectophylla alba;CR;Limón;10294069;-83833001;2018
Ectophylla alba;CR;Heredia;10521454;-84090687;2018
Ectophylla alba;CR;Heredia;10258303;-84051887;2013
Ectophylla alba;CR;Heredia;10423625;-84001757;2007
Ectophylla alba;CR;Limón;10232814;-83945272;2018
Ectophylla alba;CR;Heredia;10539094;-84032965;2017
Ectophylla alba;CR;Heredia;10438183;-84169365;2015
Ectophylla alba;CR;Heredia;10554091;-84037339;2017
Ectophylla alba;CR;Heredia;10569296;-84158226;2017
Ectophylla alba;CR;Limón;10256351;-83872233;2017
Ectophylla alba;CR;Heredia;1042342;-84075414;2012
Ectophylla alba;CR;Limon;10.6;-83.53;2002
Ectophylla alba;CR;Limon;10.6;-83.53;2002
Ectophylla alba;CR;Heredia;10475231;-84170528;2016
Ectophylla alba;CR;Heredia;10542801;-84150922;2009
Ectophylla alba;CR;Heredia;10448936;-83829033;2016
Ectophylla alba;CR;Heredia;10389846;-83990123;2016
Ectophylla alba;CR;Heredia;10339488;-8392876;2016
Ectophylla alba;CR;;10496607;-83623486;1967
Ectophylla alba;CR;Limon;104824;-83613558;1967
Ectophylla alba;CR;Heredia;1043333;-84;1974
Ectophylla alba;CR;Heredia;1043333;-84;1974
Ectophylla alba;CR;Heredia;1043333;-84;1974
Ectophylla alba;CR;Heredia;1043333;-84;1974
Ectophylla alba;CR;Heredia;1043333;-84;1974
Ectophylla alba;CR;Heredia;10444304;-84075966;2014
Ectophylla alba;CR;Heredia;1043443592;-8403305409;1961
Ectophylla alba;CR;Limón;1021667;-8376667;1967
Ectophylla alba;CR;Heredia;1043443592;-8403305409;1961
Ectophylla alba;CR;Heredia;1043443592;-8403305409;1962
Ectophylla alba;CR;Heredia;1043443592;-8403305409;1962
Ectophylla alba;CR;Heredia;10313171;-84119579;2008
Ectophylla alba;CR;Heredia;10546194;-84005727;2007
Ectophylla alba;CR;Limón;10432714;-83491624;2014
Ectophylla alba;CR;Cartago;9826578;-83570553;2014
Ectophylla alba;CR;Limon;1044277305;-8377055099;2000
Ectophylla alba;CR;Alajuela;1093333;-8531667;1988
Ectophylla alba;CR;Alajuela;1093333;-8531667;1988
Ectophylla alba;CR;Heredia;10431264;-84003549;1973
Ectophylla alba;CR;Heredia;10431264;-84003549;1973
Ectophylla alba;CR;Heredia;1046667;-8401667;1961
Ectophylla alba;CR;Heredia;1043333;-84;1974
Ectophylla alba;CR;Heredia;1043333;-84;1974
Ectophylla alba;CR;Heredia;1043333;-84;1974
Ectophylla alba;CR;Limon;1058333;-8351667;1989
Ectophylla alba;CR;Limon;1058333;-8351667;1989
Ectophylla alba;CR;Limon;1058333;-8351667;1989
Ectophylla alba;CR;Limón Province;9717;-83.05;1967
Ectophylla alba;CR;Limón Province;1038410922;-8373271699;1967
Ectophylla alba;CR;Limón Province;1038410922;-8373271699;1967
Ectophylla alba;CR;Limón Province;1038410922;-8373271699;1967
Ectophylla alba;CR;Limón Province;1038410922;-8373271699;1967
Ectophylla alba;CR;Limón Province;1038410922;-8373271699;1967
Ectophylla alba;CR;Limón Province;1038410922;-8373271699;1967
Ectophylla alba;CR;Limón Province;1038410922;-8373271699;1967
Ectophylla alba;CR;Limón Province;1038410922;-8373271699;1967
Ectophylla alba;CR;Cartago Province;9901134861;-8364971399;1963
